Sub Category,Title,FinalPrice,Rating_num,Reviews,ValueScore,BayesRating
Laundry Detergent & Supplies,"Nellie's Laundry Soda, 800 Loads",89.99,4.8,1171,0.9520741481303496,4.7847318711751194
Laundry Detergent & Supplies,"Scotch-Brite Lint Roller, 95-count, 5-pack",17.89,4.7,896,0.9454108214814125,4.685892318565171
Laundry Detergent & Supplies,"ECOS HE Liquid Laundry Detergent, Free & Clear, 210 Loads, 210 fl oz, 2-count",38.99,4.7,2060,0.9422394787960435,4.693663895086771
Meat & Seafood,"Sampler: Dry-Cured Acorn-Fed 100% Iberico Pork Ham and Salami and Chorizo, 4.5 oz, 3-pack",64.99,5.0,6,0.9908316631516578,4.5035900053957105
Meat & Seafood,"Portoro Australian Primal Beef Striploin - 1 Total Pack, Min Weight 6 Lbs.",249.99,5.0,1,0.9630260519292269,4.457626117006424
Meat & Seafood,"Halal Certified Lamb Box - (2/2 20-22 Oz. Rack of Lambs, 2/2 1.5 Lbs. Lamb Fore Shank, 1/1 3.5 Lbs. Denver Ribs) 5 Total Packs, 9.3 Lbs. Total",139.99,4.9,7,0.9620591180658582,4.5001968386391145
Meat & Seafood,"Crescent Foods Halal Hand-Cut Lamb Locker Pack - 9 Total Packs,  9 Lbs. Total",159.99,4.9,10,0.9590531060418116,4.519235084418205
Meat & Seafood,"Northfork Ground Bison - (10/1 Lb. Per Pack), 10 Total Packs, 10 Lbs. Total",109.99,4.7,104,0.931568136110678,4.614724906486286
Organic,"Ruta Maya Organic Dark Roast Coffee, 5 lbs",44.99,4.8,2216,0.9588376751844544,4.791763688990016
Organic,"Acetum Organic Apple Cider Vinegar with the Mother, 128 fl. oz.",27.99,4.7,571,0.9438927854092691,4.678544567817863
Organic,Ruta Maya Organic Medium Roast Whole Bean Coffee 5 lb,44.99,4.7,2525,0.9413376751888295,4.6948067534206155
Organic,Ruta Maya Organic Jiguaní Whole Bean Coffee 5 lb,47.99,4.7,631,0.9408867733852225,4.680426623272437
Organic,"Kirkland Signature, Organic Tomato Sauce, 15 oz, 12-Count",9.49,4.65,0,0.9379233465336998,4.447392647515979
Pantry & Dry Goods,Namaste Gluten Free Waffle & Pancake Mix 3 lb 2-pack (6 lbs Total),27.99,5.0,1,0.9963927853961441,4.457626117006424
Pantry & Dry Goods,eat.art Salt and Spice Set 2-pack,44.99,5.0,3,0.9938376751757044,4.476996612827623
Pantry & Dry Goods,"Kirkland Signature Organic Ground Saigon Cinnamon, 10.7 oz., 2-count",19.99,4.9,906,0.9800951902101378,4.874986246421634
Pantry & Dry Goods,"Kirkland Signature Organic Hemp Hearts, 3-pack (6 lbs Total)",54.99,4.9,41,0.9748346691680563,4.644806492748372
Pantry & Dry Goods,Manuka Health UMF 10+ (MGO 263+) Raw Manuka Honey 17.6 oz,29.99,4.8,1241,0.9610921842024893,4.785557813229016
Paper & Plastic Products,"Artstyle Paper Plate & Napkin Bundle, Year of the Dragon Lunar New Year, 200-count",28.99,5.0,3,0.9962424847949417,4.476996612827623
Paper & Plastic Products,"Eco Raj 12 oz Compostable Bagasse Bowl, 1000-count",79.99,5.0,4,0.9885771541336229,4.486172110848192
Paper & Plastic Products,"Kleenex Ultra Slim Wallet Facial Tissue, 3-Ply, 10-count, 36-pack",22.49,4.7,837,0.9447194387158819,4.684957090245334
Paper & Plastic Products,"Artstyle Paper Plate & Napkin Bundle, Confetti Celebration, 200-count",23.99,4.7,116,0.9444939878140783,4.620779942712112
Paper & Plastic Products,"Eco Raj 9-inch Compostable Bagasse Plate, 500-count",57.99,4.7,10,0.9393837673731993,4.4874890526721725
Poultry,"All Natural Raw Duck Legs - (8/2 Legs Per Pack, 8.5 Oz Per Leg), 16 Total Legs, 8 Total Packs, 8.5 Lbs. Total",149.99,4.7,20,0.9255561120625848,4.516600141347218
Poultry,"All Natural Boneless Duck Breast - (8/7 Oz. Per Duck Breast), 16 Total Breasts, 8 Total Packs, 7Lbs. Total",179.99,4.6,42,0.9035470940308898,4.514861161245756
Poultry,"Farmer Focus Organic Boneless/Skinless Chicken Breasts, (20/8 Oz. Per Breast), 20 Total Count, 10 Lbs. Total",149.99,4.5,249,0.8905561120713348,4.490767583835586
Poultry,"Hillshire Farm Slow Roasted Turkey Breast, 11 oz, 3-count",154.99,4.5,4,0.8898046090653232,4.451084391549946
Poultry,"Fully Cooked Confit Duck Legs - (8/1 Lbs. Per Pack), 16 Legs, 8 Total Packs, 8 Lbs. Total",179.99,4.5,40,0.8860470940352649,4.470019465788677
Seafood,"Mahi Mahi Boneless, (26-27/Skinless 6 Oz. Portions Per Each Pack), 26-27 Total Packs, 1 Case Totaling 10 Lbs.",249.99,4.8,84,0.9280260519379768,4.663589856338299
Seafood,"Alaska Black Cod (Sable Fish) - Individual Packed Portions (19-25/6-8 Oz. Per Portion), 1 Case Totaling 10 Lbs.",269.99,4.8,190,0.9250200399139302,4.723093869622827
Seafood,"American Red Snapper - Whole, Head-On, Cleaned, (5-7 Individually Vacuum Packed Portions/ 1.5-2 Lbs Per Fish) - Total 10Lbs.",189.99,4.7,23,0.9195440880144917,4.523839609451933
Seafood,"Ahi Tuna Individual Vacuum Packed Portion (26-27/6 Oz. Per Portion), 26-27 Total Packs, 10 Lbs. Total Case",149.99,4.6,1237,0.9080561120669597,4.593730085518098
Seafood,"Trident Seafoods Smoked Sockeye Salmon, 2 Gift Packs",59.99,4.5,1550,0.9040831661795445,4.498260642743822
Snacks,"G2G 3-pack Almond Chocolate Chip Protein Bars, 24-count",49.99,5.0,11,0.9930861721696929,4.542372036224171
Snacks,"G2G 3-pack Peanut Butter & Jelly Protein Bars, 24-count",49.99,5.0,2,0.9930861721696929,4.4674874603335795
Snacks,G2G 3-pack Peanut Butter Coconut Chocolate Protein Bars 24-count,39.99,4.8,273,0.9595891781904661,4.742674264780205
Snacks,G2G Protein Bar Variety 3-pack (24 Total Bars),49.99,4.8,101,0.9580861721784428,4.678648118950305
Snacks,Our Heroes' Care Pack ,56.99,4.8,477,0.9570340679700264,4.764739264751598
